Sampling Rate : 128HZ,Duration : 10 Minutes
Time,PPG
2.5546875,-58126.1875
2.5625,-58117.58984
2.5703125,-58089.56641
2.578125,-58050.84375
2.5859375,-58012.45703
2.59375,-57982.18359
2.6015625,-57964.22266
2.609375,-57956.52344
2.6171875,-57955.3125
2.625,-57958.14453
2.6328125,-57965.25391
2.640625,-57982.625
2.6484375,-58017.26563
2.65625,-58075.80078
2.6640625,-58160.44141
2.671875,-58265.76563
2.6796875,-58381.62109
2.6875,-58493.34766
2.6953125,-58588.35938
2.703125,-58659.53125
2.7109375,-58705.72266
2.71875,-58732.60547
2.7265625,-58746.39844
2.734375,-58752.27344
2.7421875,-58752.44531
2.75,-58745.96484
2.7578125,-58733.17188
2.765625,-58714.35547
2.7734375,-58691.51172
2.78125,-58666.98047
2.7890625,-58642.07031
2.796875,-58620.53516
2.8046875,-58607.36328
2.8125,-58610.26953
2.8203125,-58635.15234
2.828125,-58678.68359
2.8359375,-58726.40625
2.84375,-58753.05859
2.8515625,-58736.24219
2.859375,-58671.125
2.8671875,-58577.71484
2.875,-58495.55469
2.8828125,-58457.60938
2.890625,-58465.67578
2.8984375,-58477.73438
2.90625,-58421.79688
2.9140625,-58234.18359
2.921875,-57894.36719
2.9296875,-57440.94922
2.9375,-56952.23438
2.9453125,-56503.48828
2.953125,-56131.60156
2.9609375,-55821.48438
2.96875,-55529.02734
2.9765625,-55216.60547
2.984375,-54878.81641
2.9921875,-54545.40625
3,-54253.90625
3.0078125,-54041.59375
3.015625,-53905.12109
3.0234375,-53829.55859
3.03125,-53799.84375
3.0390625,-53808.83984
3.046875,-53856.99609
3.0546875,-53941.03906
3.0625,-54044.41406
3.0703125,-54141.4375
3.078125,-54205.82813
3.0859375,-54225.125
3.09375,-54205.02344
3.1015625,-54162.89844
3.109375,-54119.20703
3.1171875,-54085.32813
3.125,-54062.83203
3.1328125,-54046.90234
3.140625,-54031.02344
3.1484375,-54013.77344
3.15625,-53996.27344
3.1640625,-53981.59375
3.171875,-53971.61328
3.1796875,-53963.48438
3.1875,-53951.98047
3.1953125,-53928.28516
3.203125,-53884.40234
3.2109375,-53816.75
3.21875,-53727.03906
3.2265625,-53625.125
3.234375,-53523.86328
3.2421875,-53435.96094
3.25,-53370.12109
3.2578125,-53326.50781
3.265625,-53299.52344
3.2734375,-53278.05078
3.28125,-53251.52734
3.2890625,-53216.13672
3.296875,-53176.75391
3.3046875,-53148.19141
3.3125,-53145.59766
3.3203125,-53173.58984
3.328125,-53217.94531
3.3359375,-53243.96484
3.34375,-53211.07422
3.3515625,-53090.53516
3.359375,-52882.46875
3.3671875,-52619.9375
3.375,-52355.28125
3.3828125,-52140.02734
3.390625,-52004.26172
3.3984375,-51948.88672
3.40625,-51951.29297
3.4140625,-51976.80078
3.421875,-51992.5
3.4296875,-51975.52344
3.4375,-51919.06641
3.4453125,-51837.59766
3.453125,-51768.96484
3.4609375,-51771.21875
3.46875,-51907.00781
3.4765625,-52218.72266
3.484375,-52704.63672
3.4921875,-53308.22656
3.5,-54171.64063
3.5078125,-54645.62109
3.515625,-54944.25391
3.5234375,-55070.17578
